名前,説明,タイムコード,カラー
xon,,00:00:12:59,green
xoff,,00:00:13:26,green
xon,,00:00:13:40,green
xoff,,00:00:14:07,green
o,,00:00:14:22,green
t,,00:00:14:49,green
s,,00:00:15:17,green
t,,00:00:15:45,green
o,,00:00:16:13,green
xon,,00:00:16:41,green
xoff,,00:00:17:09,green
xon,,00:00:17:22,green
xoff,,00:00:17:50,green
o,,00:00:18:04,green
t,,00:00:18:32,green
s,,00:00:18:59,green
t,,00:00:19:27,green
o,,00:00:19:55,green
xon,,00:00:20:22,green
xoff,,00:00:20:50,green
xon,,00:00:21:03,green
xoff,,00:00:21:31,green
o,,00:00:21:45,green
t,,00:00:22:13,green
s,,00:00:22:41,green
t,,00:00:23:08,green
o,,00:00:23:36,green
x,,00:00:24:03,green
x,,00:00:24:17,green
o,,00:00:24:45,green
x,,00:00:25:27,green
t,,00:00:25:47,green
x,,00:00:26:08,green
o,,00:00:26:36,green
o,,00:00:26:50,green
o,,00:00:27:03,green
x,,00:00:27:45,green
x,,00:00:28:13,green
o,,00:00:28:40,green
t,,00:00:29:08,green
t,,00:00:29:29,green
ton,,00:00:29:49,green
toff,,00:00:30:59,green
o,,00:00:31:26,green
o,,00:00:31:54,green
o,,00:00:32:23,green
t,,00:00:32:50,green
t,,00:00:33:11,green
t,,00:00:33:32,green
x,,00:00:34:00,green
x,,00:00:34:13,green
oon,,00:00:34:41,green
ooff,,00:00:35:09,green
x,,00:00:35:22,green
x,,00:00:35:36,green
s,,00:00:36:18,green
son,,00:00:36:32,green
soff,,00:00:36:59,green
x,,00:00:37:13,green
x,,00:00:37:27,green
o,,00:00:37:54,green
x,,00:00:38:22,green
x,,00:00:38:50,green
o,,00:00:39:18,green
o,,00:00:39:45,green
xon,,00:00:40:13,green
xoff,,00:00:40:41,green
oon,,00:00:40:54,green
ooff,,00:00:41:22,green
t,,00:00:41:36,green
o,,00:00:42:31,green
x,,00:00:42:59,green
x,,00:00:43:27,green
a,,00:00:43:55,green
t,,00:00:44:08,green
xon,,00:00:44:35,green
xoff,,00:00:45:17,green
o,,00:00:46:12,green
o,,00:00:46:40,green
x,,00:00:47:08,green
o,,00:00:47:35,green
s,,00:00:47:57,green
t,,00:00:48:17,green
x,,00:00:48:46,green
x,,00:00:48:59,green
oon,,00:00:49:27,green
ooff,,00:00:50:08,green
x,,00:00:50:23,green
s,,00:00:51:04,green
son,,00:00:51:18,green
soff,,00:00:52:00,green
x,,00:00:52:13,green
