名前,説明,タイムコード,カラー
o,,00:00:52:41,green
t,,00:00:53:08,green
o,,00:00:53:36,green
t,,00:00:54:03,green
o,,00:00:54:32,green
o,,00:00:54:45,green
o,,00:00:55:13,green
oon,,00:00:55:27,green
ooff,,00:00:56:22,green
x,,00:00:57:18,green
o,,00:00:57:45,green
o,,00:00:58:13,green
xon,,00:00:58:41,green
xoff,,00:00:59:08,green
xon,,00:00:59:22,green
xoff,,00:00:59:50,green
o,,00:01:00:03,green
o,,00:01:00:31,green
ton,,00:01:00:59,green
toff,,00:01:01:27,green
son,,00:01:01:41,green
soff,,00:01:02:08,green
ton,,00:01:02:22,green
toff,,00:01:02:50,green
son,,00:01:03:03,green
soff,,00:01:03:31,green
t,,00:01:03:45,green
t,,00:01:04:12,green
o,,00:01:04:40,green
x,,00:01:05:09,green
o,,00:01:05:37,green
xon,,00:01:06:04,green
xoff,,00:01:06:32,green
x,,00:01:06:46,green
s,,00:01:07:27,green
s,,00:01:07:55,green
s,,00:01:08:23,green
x,,00:01:08:50,green
o,,00:01:09:18,green
ton,,00:01:09:46,green
toff,,00:01:10:13,green
son,,00:01:10:27,green
soff,,00:01:10:55,green
x,,00:01:11:08,green
o,,00:01:11:36,green
x,,00:01:12:04,green
o,,00:01:12:31,green
x,,00:01:12:59,green
o,,00:01:13:27,green
x,,00:01:13:54,green
x,,00:01:14:08,green
s,,00:01:14:36,green
s,,00:01:14:50,green
o,,00:01:15:17,green
t,,00:01:15:45,green
t,,00:01:16:13,green
t,,00:01:16:27,green
s,,00:01:16:55,green
s,,00:01:17:36,green
s,,00:01:17:50,green
o,,00:01:18:18,green
o,,00:01:18:31,green
o,,00:01:18:59,green
x,,00:01:19:27,green
x,,00:01:19:40,green
o,,00:01:20:07,green
o,,00:01:20:36,green
x,,00:01:21:03,green
x,,00:01:21:18,green
o,,00:01:21:46,green
s,,00:01:22:14,green
s,,00:01:22:28,green
ton,,00:01:22:55,green
toff,,00:01:24:32,green
s,,00:01:25:27,green
t,,00:01:25:48,green
o,,00:01:26:08,green
x,,00:01:26:50,green
x,,00:01:27:18,green
x,,00:01:27:38,green
x,,00:01:27:59,green
o,,00:01:28:40,green
o,,00:01:29:08,green
o,,00:01:29:29,green
o,,00:01:29:50,green
x,,00:01:30:32,green
x,,00:01:30:59,green
x,,00:01:31:20,green
x,,00:01:31:41,green
x,,00:01:31:55,green
x,,00:01:32:08,green
s,,00:01:32:36,green
t,,00:01:33:04,green
o,,00:01:33:17,green
x,,00:01:33:45,green
x,,00:01:34:13,green
x,,00:01:34:27,green
x,,00:01:34:54,green
x,,00:01:35:08,green
o,,00:01:35:35,green
o,,00:01:36:03,green
oon,,00:01:36:17,green
ooff,,00:01:36:45,green
o,,00:01:36:59,green
o,,00:01:37:13,green
x,,00:01:37:41,green
x,,00:01:37:55,green
x,,00:01:38:09,green
t,,00:01:38:36,green
t,,00:01:38:50,green
t,,00:01:39:04,green
s,,00:01:39:32,green
s,,00:01:39:46,green
s,,00:01:40:00,green
x,,00:01:40:14,green
x,,00:01:40:27,green
x,,00:01:40:41,green
t,,00:01:40:55,green
s,,00:01:41:37,green
s,,00:01:42:04,green
s,,00:01:42:25,green
s,,00:01:42:46,green
x,,00:01:43:27,green
x,,00:01:43:55,green
x,,00:01:44:15,green
x,,00:01:44:36,green
s,,00:01:45:18,green
s,,00:01:45:45,green
s,,00:01:45:59,green
x,,00:01:46:27,green
x,,00:01:46:41,green
x,,00:01:46:55,green
s,,00:01:47:22,green
t,,00:01:47:50,green
o,,00:01:48:04,green
o,,00:01:48:31,green
x,,00:01:48:59,green
x,,00:01:49:13,green
o,,00:01:49:40,green
o,,00:01:49:54,green
o,,00:01:50:08,green
x,,00:01:50:22,green
x,,00:01:50:36,green
s,,00:01:50:50,green
t,,00:01:51:04,green
o,,00:01:51:32,green
o,,00:01:51:45,green
o,,00:01:51:59,green
a,,00:01:52:27,green
oon,,00:01:52:54,green
ooff,,00:01:53:14,green
o,,00:01:53:22,green
s,,00:01:53:49,green
x,,00:01:54:18,green
x,,00:01:54:32,green
x,,00:01:54:46,green
o,,00:01:55:00,green
t,,00:01:55:28,green
xon,,00:01:56:22,green
xoff,,00:01:56:50,green
oon,,00:01:57:04,green
ooff,,00:01:57:32,green
s,,00:01:57:46,green
t,,00:01:58:13,green
s,,00:01:58:41,green
t,,00:01:59:09,green
o,,00:01:59:36,green
xon,,00:02:00:04,green
xoff,,00:02:00:31,green
oon,,00:02:00:45,green
ooff,,00:02:01:13,green
s,,00:02:01:28,green
t,,00:02:01:55,green
s,,00:02:02:22,green
t,,00:02:02:50,green
o,,00:02:03:17,green
son,,00:02:03:45,green
soff,,00:02:04:13,green
oon,,00:02:04:27,green
ooff,,00:02:04:55,green
s,,00:02:05:08,green
t,,00:02:05:37,green
s,,00:02:06:04,green
t,,00:02:06:31,green
o,,00:02:06:59,green
x,,00:02:07:27,green
x,,00:02:07:40,green
o,,00:02:08:08,green
t,,00:02:08:50,green
o,,00:02:09:18,green
o,,00:02:09:32,green
t,,00:02:09:59,green
t,,00:02:10:13,green
s,,00:02:10:28,green
son,,00:02:10:42,green
soff,,00:02:13:28,green
